#mAbG 50 mM NaCl 10 mg/ml with FF 1 and 2 mg/ml		
#q	S(q)	deltaS(q)
0.047891508	0.947306135	0.011918092
0.048022205	0.965623073	0.012320087
0.048152902	0.966856886	0.012975655
0.0482836	0.95091183	0.012573609
0.048414297	0.959490328	0.013028103
0.048544994	0.949008682	0.012307276
0.048675691	0.964368285	0.012705175
0.048806389	0.946492366	0.012787173
0.048937086	0.951746019	0.012622706
0.049067783	0.938306634	0.012341311
0.049198481	0.980810749	0.013517586
0.049329178	0.98442679	0.013579093
0.049459875	0.979260552	0.01352452
0.049590573	0.971732124	0.013953003
0.04972127	0.951460379	0.012962202
0.049851967	0.936271729	0.012669802
0.049982665	0.952427852	0.013181077
0.050113362	0.960996128	0.013517959
0.050244059	0.953282248	0.013387037
0.050374757	0.964085701	0.013892964
0.050505454	0.963569556	0.014423339
0.050636151	0.941667015	0.013188781
0.050766848	0.94034263	0.013307571
0.050897546	0.946686491	0.013592555
0.051028243	0.934762625	0.013533043
0.05115894	0.938895438	0.013508616
0.051289638	0.925978767	0.013222373
0.051420335	0.956523122	0.014068584
0.051551032	0.969539564	0.014650334
0.05168173	0.953154384	0.014213828
0.051812427	0.963315073	0.014641733
0.051943124	0.96396616	0.014673235
0.052073822	0.928495741	0.013699308
0.052204519	0.958040731	0.01472626
0.052335216	0.945843831	0.01496338
0.052465914	0.935707428	0.014167102
0.052596611	0.937718145	0.014693239
0.052727308	0.946939198	0.014569718
0.052858005	0.953182477	0.014870491
0.052988703	0.917631648	0.013953827
0.0531194	0.923207303	0.014211235
0.053250097	0.9381418	0.014741794
0.053380795	0.930153924	0.014483415
0.053511492	0.95622192	0.015308547
0.053642189	0.9907934	0.016472762
0.053772887	0.957373356	0.015418378
0.053903584	0.992561949	0.017438349
0.054034281	0.956644228	0.015755358
0.054164979	0.955757974	0.015632064
0.054295676	0.973742833	0.016376776
0.054426373	0.968568419	0.016306399
0.054557071	0.95628566	0.016072165
0.054687768	0.971269545	0.016539262
0.054818465	0.952535782	0.01618558
0.054949162	0.970724377	0.016510807
0.05507986	0.960686379	0.016200999
0.055210557	0.92203343	0.015353949
0.055341254	0.940942407	0.015896104
0.055471952	0.969998739	0.017014725
0.055602649	0.979133275	0.017230237
0.055733346	0.972301509	0.017152371
0.055864044	0.968978894	0.017146221
0.055994741	0.945176914	0.01651301
0.056125438	0.962309643	0.017062431
0.056256136	0.950228973	0.016881501
0.056386833	0.951483057	0.016673191
0.05651753	0.969663236	0.01767503
0.056648228	0.954463807	0.017163962
0.056778925	0.978696047	0.018542747
0.056909622	0.92472084	0.01617556
0.057040319	0.9485004	0.017083126
0.057171017	0.979489396	0.018063644
0.057301714	0.978127347	0.019692194
0.057432411	0.994189142	0.018854142
0.057563109	0.98259794	0.019256347
0.057693806	0.939060268	0.016966936
0.057824503	0.949035241	0.0174247
0.057955201	0.939807248	0.017359811
0.058085898	0.965468436	0.017924172
0.058216595	0.999266648	0.019395103
0.058347293	0.979963903	0.018744372
0.05847799	0.953528764	0.018317055
0.058608687	0.96152771	0.018289265
0.058739384	0.964107148	0.018299146
0.058870082	0.954050526	0.018664739
0.059000779	0.966171108	0.018629827
0.059131476	0.926940123	0.016954049
0.059262174	0.989827019	0.019536602
0.059392871	0.952271149	0.018136322
0.059523568	0.940915582	0.017905451
0.059654266	0.957844605	0.018443554
0.059784963	0.932823058	0.017453612
0.05991566	0.947018826	0.018264216
0.060046358	0.960392801	0.018814401
0.060177055	0.933468977	0.017631606
0.060307752	0.931950423	0.017675702
0.06043845	0.92751208	0.017523992
0.060569147	1.023316039	0.02119688
0.060699844	0.978881263	0.019673464
0.060830541	0.936653733	0.017995922
0.060961239	0.94231437	0.018366888
0.061091936	0.988313736	0.020313012
0.061222633	0.98294949	0.019827248
0.061353331	1.000601669	0.020864147
0.061484028	0.963518906	0.019176097
0.061614725	0.946986517	0.019030476
0.061745423	0.945735374	0.018947452
0.06187612	0.946583516	0.018913031
0.062006817	0.961032601	0.019465913
0.062137515	0.980243114	0.02025698
0.062268212	0.98629894	0.020620064
0.062398909	0.928831231	0.018306584
0.062529607	0.917808257	0.017910386
0.062660304	0.919399475	0.018195655
0.062791001	0.965021098	0.019911257
0.062921698	0.943738657	0.01914035
0.063052396	0.947741722	0.019495168
0.063183093	0.924301653	0.018651138
0.06331379	0.950809542	0.019560325
0.063444488	0.913641779	0.018367879
0.063575185	0.996636921	0.021593769
0.063705882	0.936226048	0.019290407
0.06383658	0.923693036	0.018716913
0.063967277	0.993606395	0.021630383
0.064097974	0.955776256	0.02010017
0.064228672	0.965384518	0.020388283
0.064359369	0.950457053	0.0199473
0.064490066	0.950052893	0.020084577
0.064620764	0.960085575	0.020306788
0.064751461	0.947938507	0.020046163
0.064882158	0.935187676	0.019361274
0.065012855	0.901746459	0.018372856
0.065143553	0.957933873	0.020670988
0.06527425	0.934765387	0.019676879
0.065404947	0.992082171	0.021760531
0.065535645	0.938508842	0.021561516
0.065666342	0.973856175	0.022280351
0.065797039	0.968627138	0.021193965
0.065927737	0.960512138	0.020929679
0.066058434	0.951451786	0.020800674
0.066189131	0.948150545	0.021791892
0.066319829	0.939290761	0.020253844
0.066450526	0.967784152	0.021617834
0.066581223	0.95785044	0.022807444
0.066711921	0.984292318	0.022302856
0.066842618	0.983036446	0.023313828
0.066973315	0.956029232	0.021219827
0.067104012	0.944844419	0.020966701
0.06723471	0.95848206	0.021283397
0.067365407	0.985889588	0.022653403
0.067496104	0.935951176	0.02047135
0.067626802	0.949121153	0.021070073
0.067757499	0.996319222	0.023078223
0.067888196	0.913807399	0.020080171
0.068018894	0.95468268	0.021464907
0.068149591	0.958690124	0.021874146
0.068280288	0.927427886	0.020378364
0.068410986	0.911983002	0.019857122
