#mAbG 50 mM NaCl 30 mg/ml		
#q nm-1	Sq	deltaS(q)
1.210166538	1.000199958	0.00920458
1.220622325	0.920152868	0.009435294
1.2310781	1.068597602	0.009421246
1.2415339	0.90699099	0.009962258
1.251989675	1.028951223	0.009636429
1.262445463	1.007484342	0.010053888
1.27290125	1.0138165	0.010372967
1.283357025	1.055294182	0.010070605
1.293812813	0.97882906	0.010146784
1.3042686	0.96794322	0.010130881
1.314724388	1.109357558	0.010862446
1.325180175	1.065166258	0.010729739
1.335635963	1.157325718	0.010592316
1.346091738	0.987525493	0.010621721
1.356547525	1.044402372	0.011439099
1.367003313	0.983980621	0.011753314
1.3774591	0.911606993	0.011002004
1.387914875	1.024078277	0.011372637
1.398370675	1.155755706	0.011934713
1.40882645	0.942741102	0.011623304
1.419282225	0.883557914	0.012083977
1.429738025	0.99210813	0.011327649
1.4401938	1.022522859	0.011783326
1.4506496	1.009236843	0.011710002
1.461105375	1.020421341	0.011715505
1.471561163	0.846936138	0.011398464
1.48201695	1.062665796	0.012572552
1.492472725	0.994660034	0.01254083
1.502928513	0.882378959	0.012510796
1.5133843	0.903067136	0.012831129
1.523840088	0.966767093	0.011941597
1.534295875	1.082908906	0.011666281
1.54475165	1.050014251	0.007587925
1.555207438	0.996252638	0.007994742
1.565663225	1.020851285	0.007549664
1.576119013	1.080582115	0.008021714
1.5865748	0.959775369	0.007908783
1.597030575	0.908174684	0.008123528
1.607486375	1.007279415	0.00797711
1.61794215	1.00831888	0.008038481
1.628397925	1.051558325	0.00826242
1.638853725	0.866488732	0.008179691
1.6493095	1.218278893	0.008161571
1.659765288	1.078208971	0.008579769
1.670221075	1.119919369	0.008415834
1.680676863	0.881237618	0.008478225
1.69113265	0.985724942	0.00825653
1.701588425	1.026513461	0.00876857
1.712044213	1.210337687	0.008234646
1.7225	0.975838994	0.008984516
1.732955788	1.198689139	0.009003647
1.743411575	0.99199422	0.008527414
1.75386735	1.044246075	0.008879373
1.764323138	0.990827191	0.008500222
1.774778925	0.895974001	0.008720288
1.785234712	0.974863408	0.008610397
1.7956905	1.229403122	0.008444144
1.806146275	1.093023818	0.008816703
1.816602075	0.942841223	0.008874569
1.82705785	0.817268195	0.008888256
1.837513625	0.939352921	0.009209501
1.847969425	0.822195379	0.009125883
1.8584252	1.526834121	0.009465904
1.868880987	1.04770079	0.009137999
1.879336775	0.877252132	0.008875905
1.889792563	0.999705492	0.009058661
1.90024835	1.073887144	0.009340153
1.910704125	0.941300893	0.009345359
1.921159913	0.935995215	0.00932594
1.9316157	0.942818928	0.009387831
1.942071488	1.036535666	0.009534959
1.952527275	0.970777291	0.009186787
1.96298305	1.134821878	0.009411677
1.973438837	1.21073423	0.009426259
1.983894625	1.186846962	0.010221399
1.9943504	1.180131028	0.01011295
