#100 mg/ml mit FF 1 und 2 mg/ml		
#q	S(q)	deltaS(q)
0.051420335	0.858563098	0.007823495
0.051551032	0.865831816	0.007704063
0.05168173	0.868495287	0.007748157
0.051812427	0.852808812	0.007572131
0.051943124	0.884857006	0.008043486
0.052073822	0.852646928	0.007559492
0.052204519	0.872166725	0.008240209
0.052335216	0.870268072	0.008262686
0.052465914	0.861664337	0.007816579
0.052596611	0.860937774	0.008172559
0.052727308	0.857577613	0.007807181
0.052858005	0.869198573	0.008016455
0.052988703	0.860506194	0.007926673
0.0531194	0.850569066	0.007801854
0.053250097	0.869792874	0.008130372
0.053380795	0.873580908	0.008199431
0.053511492	0.871478783	0.008200017
0.053642189	0.885130838	0.008504114
0.053772887	0.88228649	0.008449462
0.053903584	0.89172837	0.008744383
0.054034281	0.876647132	0.008443599
0.054164979	0.866190461	0.008256986
0.054295676	0.871716557	0.008385281
0.054426373	0.879066161	0.008612887
0.054557071	0.8766492	0.008619137
0.054687768	0.881065355	0.008651034
0.054818465	0.878037401	0.008694677
0.054949162	0.888519052	0.008841189
0.05507986	0.868372621	0.008499413
0.055210557	0.877854879	0.008749292
0.055341254	0.879411838	0.008748879
0.055471952	0.917039498	0.009520923
0.055602649	0.88695927	0.009407882
0.055733346	0.879318662	0.008856976
0.055864044	0.890064317	0.009159783
0.055994741	0.901623944	0.009409037
0.056125438	0.897791694	0.009282277
0.056256136	0.892093117	0.009295332
0.056386833	0.873016586	0.008832557
0.05651753	0.90006233	0.009529006
0.056648228	0.895721191	0.009457943
0.056778925	0.892044995	0.009358493
0.056909622	0.880710287	0.009589303
0.057040319	0.903700828	0.009639351
0.057171017	0.896528916	0.009571853
0.057301714	0.899316007	0.009696359
0.057432411	0.904154128	0.009782286
0.057563109	0.896411731	0.010089302
0.057693806	0.901166538	0.009712834
0.057824503	0.904574462	0.00978581
0.057955201	0.893750016	0.010112223
0.058085898	0.886020622	0.009443649
0.058216595	0.879875895	0.009850258
0.058347293	0.891177337	0.009667114
0.05847799	0.896984295	0.009707135
0.058608687	0.888874988	0.009695336
0.058739384	0.911987124	0.010521727
0.058870082	0.901160551	0.010336769
0.059000779	0.910175549	0.010189026
0.059131476	0.906898448	0.009932586
0.059262174	0.91122025	0.010196423
0.059392871	0.897733448	0.009909752
0.059523568	0.880925519	0.009594546
0.059654266	0.911232376	0.010248456
0.059784963	0.898700024	0.009867615
0.05991566	0.907081386	0.010193774
0.060046358	0.897765436	0.010059935
0.060177055	0.890086379	0.009843327
0.060307752	0.924933639	0.010621708
0.06043845	0.884926088	0.009773103
0.060569147	0.917343442	0.01042465
0.060699844	0.887317028	0.009974056
0.060830541	0.901535297	0.010105457
0.060961239	0.907506396	0.010322077
0.061091936	0.914076931	0.010530702
0.061222633	0.905153891	0.010303457
0.061353331	0.909586356	0.010511434
0.061484028	0.912334878	0.011433963
0.061614725	0.911764275	0.010603333
0.061745423	0.904059075	0.010506345
0.06187612	0.895291897	0.010197061
0.062006817	0.903826706	0.010454278
0.062137515	0.909383249	0.010611234
0.062268212	0.922365429	0.010946057
0.062398909	0.904086645	0.010563751
0.062529607	0.911157896	0.010616625
0.062660304	0.894276837	0.010409411
0.062791001	0.903133665	0.010596238
0.062921698	0.919631082	0.010951785
0.063052396	0.917546949	0.011002495
