#60 mg/ml nominal mit FF 1 und 2 mg/ml		
#q	S(q)	deltaS(q)
0.043709194	0.837696926	0.00829
0.043839891	0.868549572	0.009544965
0.043970588	0.866611011	0.008907885
0.044101286	0.870711522	0.009328944
0.044231983	0.868342235	0.008940897
0.04436268	0.85323456	0.008756298
0.044493377	0.835155833	0.008354857
0.044624075	0.862147051	0.008922139
0.044754772	0.84902459	0.008744301
0.044885469	0.833580967	0.008452223
0.045016167	0.849439008	0.008846688
0.045146864	0.866461301	0.009091438
0.045277561	0.85981432	0.009001579
0.045408259	0.851744718	0.008995191
0.045538956	0.8600498	0.009091488
0.045669653	0.842214434	0.008901895
0.045800351	0.84904767	0.008969676
0.045931048	0.858832629	0.009188594
0.046061745	0.854943331	0.009201311
0.046192443	0.877110821	0.009691349
0.04632314	0.858613772	0.00940588
0.046453837	0.874213856	0.009836268
0.046584534	0.887663299	0.010145015
0.046715232	0.865529236	0.009862534
0.046845929	0.865915108	0.009941228
0.046976626	0.866107788	0.009955006
0.047107324	0.870547027	0.010621592
0.047238021	0.885078299	0.010507721
0.047368718	0.874185354	0.010359427
0.047499416	0.869972242	0.010425273
0.047630113	0.891779569	0.011242576
0.04776081	0.897060423	0.011569261
0.047891508	0.880503913	0.010780028
0.048022205	0.89445311	0.011124861
0.048152902	0.892740405	0.011692089
0.0482836	0.881171865	0.011364227
0.048414297	0.892918453	0.011830792
0.048544994	0.87829643	0.011088774
0.048675691	0.898361687	0.011532817
0.048806389	0.886616948	0.011447888
0.048937086	0.890630331	0.011503478
0.049067783	0.87211898	0.011164651
0.049198481	0.914533793	0.012292327
0.049329178	0.912999221	0.012285439
0.049459875	0.910065701	0.01225839
0.049590573	0.902715388	0.01266194
0.04972127	0.886546906	0.011767013
0.049851967	0.870834744	0.011473469
0.049982665	0.900018673	0.012136889
0.050113362	0.931020617	0.0078649
0.050244059	0.896930129	0.007428728
0.050374757	0.922045045	0.007885075
0.050505454	0.914690332	0.007794535
0.050636151	0.909082109	0.008011856
0.050766848	0.91764245	0.007838592
0.050897546	0.917749137	0.007927939
0.051028243	0.92689674	0.008132033
0.05115894	0.921551243	0.008049846
0.051289638	0.917058159	0.007994959
0.051420335	0.919474983	0.008435189
0.051551032	0.92843079	0.00830345
0.05168173	0.932134107	0.008358434
0.051812427	0.912780575	0.008164314
0.051943124	0.947232808	0.008653375
0.052073822	0.910911778	0.008118987
0.052204519	0.934369009	0.008868853
0.052335216	0.929260402	0.008864347
0.052465914	0.918951847	0.00837979
0.052596611	0.916806655	0.008734179
0.052727308	0.917954374	0.008400133
0.052858005	0.927956646	0.008601763
0.052988703	0.918575492	0.008505365
0.0531194	0.90727564	0.008339836
0.053250097	0.923009801	0.008672156
0.053380795	0.92586289	0.008734805
0.053511492	0.927641254	0.008772687
0.053642189	0.93875988	0.009064183
0.053772887	0.936628786	0.009014695
0.053903584	0.949305163	0.009354009
0.054034281	0.93100455	0.009011955
0.054164979	0.914842234	0.008765977
0.054295676	0.924420197	0.008937169
