#mAbG 50 mM NaCl 30 mg/ml	
#q nm-1	Sq
1.419282225	0.883557914
1.429738025	0.99210813
1.4401938	1.022522859
1.4506496	1.009236843
1.461105375	1.020421341
1.471561163	0.846936138
1.48201695	1.062665796
1.492472725	0.994660034
1.502928513	0.882378959
1.5133843	0.903067136
1.523840088	0.966767093
1.534295875	1.082908906
1.54475165	1.050014251
1.555207438	0.996252638
1.565663225	1.020851285
1.576119013	1.080582115
1.5865748	0.959775369
1.597030575	0.908174684
1.607486375	1.007279415
1.61794215	1.00831888
1.628397925	1.051558325
1.638853725	0.866488732
1.6493095	1.218278893
1.659765288	1.078208971
1.670221075	1.119919369
1.680676863	0.881237618
1.69113265	0.985724942
1.701588425	1.026513461
1.712044213	1.210337687
1.7225	0.975838994
1.732955788	1.198689139
1.743411575	0.99199422
1.75386735	1.044246075
1.764323138	0.990827191
1.774778925	0.895974001
1.785234712	0.974863408
1.7956905	1.229403122
1.806146275	1.093023818
1.816602075	0.942841223
1.82705785	0.817268195
1.837513625	0.939352921
1.847969425	0.822195379
1.8584252	1.526834121
1.868880987	1.04770079
1.879336775	0.877252132
1.889792563	0.999705492
1.90024835	1.073887144
1.910704125	0.941300893
1.921159913	0.935995215
1.9316157	0.942818928
1.942071488	1.036535666
1.952527275	0.970777291
1.96298305	1.134821878
1.973438837	1.21073423
1.983894625	1.186846962
1.9943504	1.180131028
