#q [nm-1]	Sq mAbG 100 mg/ml 50 mM NaCl
#ß0.045	0.379341835
0.2103321	0.52676789
0.212946045	0.524585931
0.215559995	0.527210944
0.21817394	0.531526494
0.220787885	0.529246551
0.22340183	0.538253142
0.226015775	0.534346112
0.228629725	0.538881379
0.23124367	0.54372561
0.233857615	0.543756674
0.236471565	0.540757365
0.239085505	0.556468014
0.241699455	0.553536595
0.2443134	0.553620537
0.246927345	0.556927654
0.249541295	0.560100265
0.25215524	0.556715868
0.254769185	0.563620434
0.257383135	0.569069279
0.259997075	0.566119984
0.262611025	0.569334243
0.26522497	0.580213702
0.267838915	0.571542244
0.270452865	0.574369678
0.27306681	0.579460753
0.275680755	0.58594942
0.278294705	0.586601972
0.280908645	0.588943814
0.283522595	0.596159416
0.28613654	0.594657628
0.288750485	0.592912683
0.291364435	0.592116027
0.29397838	0.600773741
0.296592325	0.613343966
0.299206275	0.609549074
0.301820215	0.608018539
0.304434165	0.61176717
0.30704811	0.616223541
0.309662055	0.619062413
0.312276005	0.624314913
0.31488995	0.620627009
0.317503895	0.620377059
0.320117845	0.631141135
0.322731785	0.633939283
0.325345735	0.630966603
0.32795968	0.641576009
0.330573625	0.637301975
0.333187575	0.643055922
0.33580152	0.645703337
0.338415465	0.645977088
0.341029415	0.65335037
0.343643355	0.646400757
0.346257305	0.654739104
0.34887125	0.658610934
0.351485195	0.660251773
0.354099145	0.665988139
0.35671309	0.670337057
0.359327035	0.67491661
0.361940985	0.677071514
0.364554925	0.686070124
0.367168875	0.67863361
0.36978282	0.694017412
0.372396765	0.682254913
0.375010715	0.702037661
0.37762466	0.692288264
0.380238605	0.701289038
0.382852555	0.704727811
0.385466495	0.704574718
0.388080445	0.715793575
0.39069439	0.718165822
0.393308335	0.711193505
0.395922285	0.720505827
0.39853623	0.725369428
0.401150175	0.719049705
0.40376412	0.722543907
0.406378065	0.722062011
0.408992015	0.725677543
0.41160596	0.732276883
0.414219905	0.723135159
0.416833855	0.747834445
0.4194478	0.733740592
0.422061745	0.742546072
0.42467569	0.74474655
0.427289635	0.742587751
0.429903585	0.757662505
0.43251753	0.762978795
0.435131475	0.760136296
0.437745425	0.774320714
0.44035937	0.77192839
0.442973315	0.769697766
0.44558726	0.781604383
0.448201205	0.787272238
0.450815155	0.775309444
0.4534291	0.783864765
0.456043045	0.776295682
0.458656995	0.778086532
0.46127094	0.778823816
0.463884885	0.79907851
0.46649883	0.801374535
0.469112775	0.805680431
0.471726725	0.804535313
0.47434067	0.800300035
0.476954615	0.799800408
0.479568565	0.793820995
0.48218251	0.803684353
0.484796455	0.810285709
0.4874104	0.802997296
0.490024345	0.806077434
0.492638295	0.840938743
0.49525224	0.816651841
0.497866185	0.818969309
0.500480135	0.823297328
0.50309408	0.84131705
0.505708025	0.85188177
0.50832197	0.820013477
0.510935915	0.82819174
0.513549865	0.809251124
0.51616381	0.838830734
0.518777755	0.842581353
0.521391705	0.857982988
0.52400565	0.843667781
0.526619595	0.860152322
0.52923354	0.850165225
0.531847485	0.866942247
0.534461435	0.839801059
0.53707538	0.88010987
0.539689325	0.85367923
0.542303275	0.852656316
0.54491722	0.880821483
0.547531165	0.855950902
0.55014511	0.876595205
0.552759055	0.853700974
0.555373005	0.872151532
0.55798695	0.883953593
0.560600895	0.890144195
0.563214845	0.873857168
0.56582879	0.873286407
0.569749708	0.877032465
0.5749776	0.886251408
0.580205493	0.877408787
0.585433385	0.875589194
0.590661278	0.881702794
0.59588917	0.883715865
0.601117063	0.883633272
0.606344955	0.871390986
0.611572848	0.88053067
0.61680074	0.888606437
0.622028633	0.905777894
0.627256525	0.874599394
0.632484418	0.89871673
0.63771231	0.879317421
0.642940203	0.896451106
0.648168095	0.876376038
0.653395987	0.883412599
0.65862388	0.88912368
0.663851772	0.9000687
0.669079665	0.908526858
0.674307557	0.907121701
0.67953545	0.877852529
0.684763342	0.883429244
0.689991235	0.903786742
0.695219127	0.899478827
0.70044702	0.870586936
0.705674913	0.862163404
0.710902805	0.922975801
0.716130698	0.892211853
0.72135859	0.905101791
0.726586482	0.910129963
0.731814375	0.890882371
0.737042268	0.900617586
0.74227016	0.921599516
0.747498052	0.933425404
0.752725945	0.91543555
0.757953837	0.898903876
0.76318173	0.907711729
0.768409623	0.8870776
0.773637512	0.897230242
0.778865407	0.916106938
0.7840933	0.944274404
0.789321193	0.913473367
0.794549082	0.901546954
0.799776978	0.897895095
